model,dataset,filename,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
OmniAnomaly,SMAP,170_SMAP_id_27_Sensor_tr_2160_1st_4690.csv,20.59,0.016149728710551113,0.5471447725788152,0.018571575620584705,0.6671596191326122,0.014492753623188406,0.7657657657657657,0.03703703703703699,0.01914005128471111,0.6906381182536637
OmniAnomaly,MSL,002_MSL_id_1_Sensor_tr_500_1st_900.csv,3.05,0.005591299616607384,0.4410042050460553,0.0599330907902639,0.811491051980897,0.0,0.0,0.0,0.0,0.6858332332278527
OmniAnomaly,MSL,003_MSL_id_2_Sensor_tr_883_1st_1238.csv,11.15,0.1371023523873597,0.6927755584910265,0.1572650811269367,0.7418931987965297,0.00796812749003984,0.5994397759103641,0.07999999999999985,0.04971740757548076,0.6631007697779506
OmniAnomaly,MSL,005_MSL_id_4_Sensor_tr_855_1st_2700.csv,2.72,0.024966507738244208,0.5338620802703419,0.06616368450204574,0.7714997099973017,0.0,0.0,0.0,0.0,0.7305772346981719
OmniAnomaly,MSL,006_MSL_id_5_Sensor_tr_1150_1st_1250.csv,13.03,0.09808176488780469,0.5339660311611593,0.10202137280778119,0.5449947633990736,0.0,0.0,0.0,0.0,0.6200115408385145
OmniAnomaly,MSL,007_MSL_id_6_Sensor_tr_980_1st_3550.csv,2.03,0.0801262020829625,0.6106430918424153,0.11996799318501247,0.7400369301761137,0.0091324200913242,0.8184281842818428,0.02898550724637678,0.06585954372463085,0.8368592554262234
OmniAnomaly,MSL,008_MSL_id_7_Sensor_tr_656_1st_1630.csv,6.93,0.16541410276258828,0.7194010489890639,0.2521164634572676,0.8357082309412798,0.03861003861003861,0.9327731092436975,0.2380952380952379,0.0793716073011294,0.7890968634903845
OmniAnomaly,MSL,009_MSL_id_8_Sensor_tr_714_1st_1390.csv,1.71,0.008028414745873062,0.5457881918199379,0.013030935097003142,0.617455337429296,0.0,0.0,0.0,0.0,0.05125732316747208
OmniAnomaly,MSL,010_MSL_id_9_Sensor_tr_554_1st_1172.csv,4.95,0.032705093785572875,0.4721075216581654,0.048055386497935754,0.5996577594172642,0.0,0.0,0.0,0.0,0.5850352635890178
OmniAnomaly,MSL,012_MSL_id_11_Sensor_tr_539_1st_940.csv,2.0,0.07930893543985207,0.6455084194550842,0.2115039436416045,0.8422628287095044,0.016666666666666666,0.9181818181818182,0.0999999999999999,0.07857592709220909,0.6297519932916195
