model,dataset,source,series,runtime_sec,n_train,n_test,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
CNN,LTDB,tsbad,LTDB/081_LTDB_id_3_Medical_tr_500_1st_26.csv,22.47,500,99500,73,0.408221061259174,0.5926803289008612,0.4461132799067405,0.6425511363684269,0.07885366413967379,0.9654063249052811,0.5682509599260067,0.0037962745429127305,0.7708092700864444
CNN,LTDB,tsbad,LTDB/083_LTDB_id_5_Medical_tr_15502_1st_15602.csv,8.92,15502,84498,7,0.08093420471606537,0.7660481136275736,0.08430008529331423,0.7792086979337162,0.18339529120198264,0.5124302384576357,0.23548130469371495,0.001857066756978311,0.8409012062789423
CNN,TAO,tsbad,TAO/116_TAO_id_1_Environment_tr_500_1st_3.csv,13.63,500,9500,125,0.9955829989113024,0.9993712356087304,0.9984820256566428,0.9998597331245667,0.9655937846836848,0.9678848283499446,0.9657615112160561,0.00022602500751108662,0.9656453693168207
CNN,TAO,tsbad,TAO/117_TAO_id_2_Environment_tr_500_1st_1.csv,21.45,500,9500,125,0.9989111045782297,0.9997950058402417,0.9999076010436176,0.9999850216339128,0.01809954751131222,0.02108433734939759,0.020761245674740463,0.00035762921027806887,0.0206116015865815
CNN,TAO,tsbad,TAO/118_TAO_id_3_Environment_tr_500_1st_7.csv,8.68,500,9500,18,0.9973188673416824,0.9996656859965166,0.9963264940241959,0.9996861342609691,0.9815418023887079,0.9848484848484849,0.9841986455981936,0.00022073097125539274,0.9840149822429458
CNN,TAO,tsbad,TAO/119_TAO_id_4_Environment_tr_500_1st_1.csv,13.27,500,9500,61,0.9987328151996205,0.9998005271986455,0.9996405261537596,0.999953463509634,0.7012417823228634,0.7372159090909091,0.72094861660079,0.00023286809314424132,0.718968814506435
CNN,TAO,tsbad,TAO/121_TAO_id_6_Environment_tr_500_1st_7.csv,12.51,500,9500,42,0.9990219356587859,0.9998045587111803,0.9997004602423336,0.9999459590411056,0.0,0.0,0.0,0.0,
CNN,TAO,tsbad,TAO/122_TAO_id_7_Environment_tr_500_1st_19.csv,11.68,500,9500,40,0.9981746908142215,0.9997537940377316,0.9992859510533233,0.9999223328343305,0.7416666666666667,0.7681849082256968,0.7536231884057966,0.00023611038252219064,0.7520602587853961
CNN,TAO,tsbad,TAO/123_TAO_id_8_Environment_tr_500_1st_62.csv,9.26,500,9500,19,0.9986973062342421,0.9998355798566162,0.9972573006850952,0.9997838919457791,0.9957081545064378,0.9957081545064378,0.9955056179775276,0.0002220975550174212,0.9955056179775276
CNN,TAO,tsbad,TAO/124_TAO_id_9_Environment_tr_500_1st_1.csv,16.33,500,9500,190,0.997238566458824,0.9996537753222837,0.9994431177456612,0.999953178197354,0.9921612541993281,0.9932885906040269,0.9929245283018863,0.0002235177706397949,0.9929012417046265
CNN,TAO,tsbad,TAO/125_TAO_id_10_Environment_tr_500_1st_9.csv,31.69,500,9500,297,0.9989087051966482,0.9998422835364329,0.9998765020203934,0.9999853770310936,0.7738831615120275,0.8002689979825152,0.7850187265917598,0.00023335684779918333,0.7835201469179788
CNN,TAO,tsbad,TAO/127_TAO_id_12_Environment_tr_500_1st_24.csv,10.44,500,9500,40,0.9968640639163281,0.9995025639688248,0.9973974773317978,0.9996455390761319,0.9788182831661093,0.9788182831661093,0.9774614472123363,0.0002263949712031482,0.9774614472123363
CNN,TAO,tsbad,TAO/128_TAO_id_13_Environment_tr_500_1st_7.csv,12.66,500,9500,42,0.9991121396376305,0.9998287051964688,0.9997362841621014,0.9999561846911906,0.0,0.0,0.0,0.0,
